ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,39,0.3,0.16,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,40,0.16,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,41,0.18,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,42,0.18,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,43,0.2,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,44,0.3,0.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,45,0.18,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,46,0.18,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,47,0.3,0.18,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,48,0.3,0.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,49,0.3,0.2,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,50,0.3,0.18,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,51,0.18,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,52,0.2,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,53,0.2,0.3,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t4,54,0.3,0.22,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.18,0.18,0.16,0.16,0.18,0.18,0.2,0.2,0.18,0.16,0.16,0.18,0.18,0.2,0.18,0.18,0.16,0.16,0.18,0.18,0.2,0.2,0.18,0.18,0.16,0.14,0.14,0.16,0.16,0.18,0.18,0.2,0.2,0.18,0.18,0.2,0.2,0.18,0.18,0.2,0.2,0.22,0.2
0.2,0.1,0.2,0.16,0.2,0.16,0.2,0.16,0.2,0.14,0.2,0.18,0.2,0.18,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
