ID,Trial,A,Answer,Result,Time Spent
003,1,-1.20,air,True,2.28
003,2,1.40,mud,True,2.04
003,3,-1.20,air,True,2.03
003,4,-1.20,air,True,2.72
003,5,1.40,mud,True,2.23
003,6,-2.00,water,True,1.91
003,7,-1.20,air,True,1.50
003,8,0.80,sand,True,1.16
003,9,-2.00,water,True,1.70
003,10,0.80,mud,False,2.09
003,11,0.80,mud,False,1.14
003,12,1.40,mud,True,1.21
003,13,-2.00,water,True,1.21
003,14,-2.00,water,True,1.44
003,15,1.40,mud,True,1.51
003,16,0.80,sand,True,1.04
003,17,0.80,sand,True,2.47
003,18,1.40,mud,True,0.75
003,19,-2.00,water,True,1.33
003,20,-1.20,air,True,0.92

