ID,Trial,A,B,Answer,Result
002_F,1,1.80,1.00,A,True
002_F,2,1.00,1.80,B,True
002_F,3,1.10,1.80,B,True
002_F,4,1.80,1.10,A,True
002_F,5,1.80,1.20,A,True
002_F,6,1.80,1.20,B,False
002_F,7,1.10,1.80,B,True
002_F,8,1.80,1.10,A,True
002_F,9,1.20,1.80,B,True
002_F,10,1.20,1.80,B,True
002_F,11,1.80,1.30,A,True
002_F,12,1.30,1.80,B,True
002_F,13,1.80,1.40,A,True
002_F,14,1.80,1.40,B,False
002_F,15,1.38,1.80,B,True
002_F,16,1.80,1.38,B,False
002_F,17,1.80,1.36,B,False
002_F,18,1.80,1.34,B,False
002_F,19,1.32,1.80,B,True
002_F,20,1.32,1.80,B,True
002_F,21,1.34,1.80,B,True
002_F,22,1.80,1.34,B,False
002_F,23,1.32,1.80,B,True
002_F,24,1.32,1.80,A,False
002_F,25,1.30,1.80,B,True
002_F,26,1.30,1.80,B,True
002_F,27,1.80,1.32,A,True
002_F,28,1.80,1.32,A,True
002_F,29,1.34,1.80,B,True
002_F,30,1.34,1.80,B,True
002_F,31,1.80,1.36,B,False
002_F,32,1.34,1.80,B,True
002_F,33,1.34,1.80,B,True
002_F,34,1.80,1.36,B,False
1,1,1.1,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.38,1.38,1.36,1.34,1.32,1.32,1.34,1.34,1.32,1.32,1.3,1.3,1.32,1.32,1.34,1.34,1.36,1.34,1.34,1.36,1.34
1.2,1.1,1.4,1.32,1.34,1.3,1.36,1.34,1.36
1.34

