ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,1,1.8,1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,2,1,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,3,1.8,1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,4,1.8,1.1,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,5,1.8,1.2,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,6,1.2,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,7,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,8,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,9,1.4,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,10,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,11,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,12,1.8,1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,13,1.4,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,14,1.38,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,15,1.8,1.38,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,16,1.8,1.36,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,17,1.8,1.34,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,18,1.8,1.32,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,19,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,20,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,21,1.8,1.32,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,22,1.8,1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,23,1.3,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,24,1.8,1.28,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,25,1.28,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,26,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,27,1.3,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,28,1.8,1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,29,1.8,1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,30,1.34,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,31,1.34,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,32,1.36,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,33,1.34,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,34,1.8,1.32,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,35,1.32,1.8,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,36,1.8,1.34,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_f,37,1.34,1.8,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.3,1.3,1.4,1.4,1.38,1.38,1.36,1.34,1.32,1.3,1.3,1.32,1.3,1.3,1.28,1.28,1.3,1.3,1.32,1.32,1.34,1.34,1.36,1.34,1.32,1.32,1.34,1.34,1.32
1.4,1.3,1.4,1.3,1.32,1.28,1.36,1.32,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
